"Fran?ais"


2

latinFont.tga  16 2  8  0 14
latinFont.txt

5x9CapsLatinFont.tga  9 1  6  0  10
latinFont.txt


langHasWords  1



corruptedA     "Donn?es de sauvegarde corrompues."
corruptedB     "Veuillez relancer le jeu."
corruptedC     "Fermeture automatique dans:"


settings       "Param?tres"

newGame        "Nouvelle partie"

resume         "Reprendre"

quit           "Quitter"


musicVolume    "Volume musique"

effectsVolume  "Volume effets"

fullscreen     "Plein ?cran"

languages      "Langues"

controls       "Commandes"

back           "Retour"


actionDesc     "Action"
drawDesc       "Repiocher"
deckDesc       "Voir le deck"
commitDesc     "Valider"
spinDesc       "Lancer"
unlockView     "D?blocages"


press          "appuyez"

defaults       "Par d?faut"

drawInstruct   "Composez votre arm?e"
formationInstruct   "Ajustez la formation"
newFormationSpot    "Nouvelle case de formation!"
newSpotInA           "Encore"
newSpotInB           "pour une case de formation"

newSpotTitle         "Acheter une case"
newSpotDescription   "Ajoute une case ? votre formation pour placer plus de pi?ces sur le plateau."


shopTitle      "Boutique!"
shopInstructA  "Am?liorez votre deck!"
shopInstructB  "Choisissez une pi?ce pour l?acheter"
sale           "Promo!"
permanent      "? vie"

level          "Niveau"

gameOverInstruct  "Veuillez rejouer:"


unlockDes      "D?blocage permanent"
unlock0        "Une place de plus dans la r?serve"
unlock1        "Un emplacement de plus dans la boutique"
unlock2        "Un article est toujours en promo dans la boutique"

unlockLockedA  "Mat au niveau"
unlockLockedB  "pour d?bloquer"

exhausted      "?puis?e"
exhaustDesc    "?puisez chaque pi?ce pour rafra?chir le deck"


contraband     " "
common         "Commun"
uncommon       "Peu commun"
rare           "Rare"
legendary      "L?gendaire"
impossible     "Impossible"


formationKing       "Case du roi"
formationOther      "Case d?arm?e"
formationKingDesc   "Votre roi va ici. ## ## Prot?gez-le ? tout prix! ## ## S?lectionnez pour d?placer."
formationOtherDesc  "Des pi?ces de votre deck sont tir?es pour remplir cette case. ## ## S?lectionnez pour d?placer."

pawn           "Pion"
pawnDesc       "Avance de 1 ou 2 cases, capture en diagonale"

bishop         "Fou"
bishopDesc     "Se d?place en diagonale"

knight         "Cavalier"
knightDesc     "Se d?place en L"

rook           "Tour"
rookDesc       "Se d?place en ligne droite"

queen          "Dame"
queenDesc      "Se d?place en ligne droite et en diagonale"

king           "Roi"
kingDescYou    "Une case dans toute direction. Si votre roi est pris, vous perdez!"
kingDescThem   "Une case dans toute direction. Prenez le roi ennemi pour gagner!"

laserRook      "Tour laser"
laserRookDesc  "Tire des lasers en ligne droite apr?s s??tre d?plac?e"

laserPawn      "Pion laser"
laserPawnDesc  "Tire un laser vers l?avant apr?s s??tre d?plac?"

doublingPawn   "Pion doubleur"
doublingPawnDesc  "Double les capacit?s sp?ciales de la pi?ce juste devant lui"

addingRook     "Tour additive"
addingRookDesc "Ajoute 1 aux capacit?s sp?ciales des pi?ces accessibles en ligne droite"

rocket         "Fus?e CCCP"
rocketDesc     "D?truit une pi?ce ennemie au hasard, puis s?autod?truit"
