"English"


2

latinFont.tga  16 2  8  0 14
latinFont.txt

5x9CapsLatinFont.tga  9 1  6  0  10
latinFont.txt


langHasWords  1



corruptedA     "Saved game data corrupted."
corruptedB     "Please re-launch the game."
corruptedC     "Auto-quitting in:"



settings       "Settings"

newGame        "New Game"

resume         "Resume"

quit           "Quit"


musicVolume    "Music Volume"

effectsVolume  "Effects Volume"

fullscreen     "Fullscreen"

languages      "Languages"

controls       "Controls"

back           "Back"


actionDesc     "Action"
drawDesc       "Redraw"
deckDesc       "View Deck"
commitDesc     "Commit"
spinDesc       "Spin"
unlockView     "View Unlocks"

press          "press"

defaults       "Defaults"


drawInstruct   "Draft your army"
formationInstruct   "Adjust army formation"
newFormationSpot    "New army formation spot!"
newSpotInA           "Purchase"
newSpotInB           "more for new army formation spot"

shopTitle      "Shop!"
shopInstructA  "Improve your deck!"
shopInstructB  "Click a piece to buy it"
sale           "Sale!"
permanent      "Perma"

level          "Level"

gameOverInstruct  "Please Play Again:"


unlockDes      "Permanent Unlock"
unlock0        "Extra space on the sideboard"
unlock1        "Extra slot in the shop"
unlock2        "Something is always on sale in the shop"

unlockLockedA  "Checkmate level"
unlockLockedB  "to unlock"


contraband     " "
common         "Common"
uncommon       "Uncommon"
rare           "Rare"
legendary      "Legendary"
impossible     "Impossible"


formationKing       "King Spot"
formationOther      "Army Spot"
formationKingDesc   "Your king goes here. ## ## Protect him at all costs!  ## ## Select spot to move it."
formationOtherDesc  "Pieces will be drawn from your deck to fill this spot.  ## ## Select spot to move it."


pawn           "Pawn"
pawnDesc       "Moves 1 or 2 spaces forward, captures diagonally"

bishop         "Bishop"
bishopDesc     "Moves diagonally"

knight         "Knight"
knightDesc     "Moves in L-shaped pattern"

rook           "Rook"
rookDesc       "Moves in straight lines"

queen          "Queen"
queenDesc      "Moves in straight lines and diagonally"

king           "King"
kingDescYou    "Moves 1 space in any direction. ## ## If your king gets captured, you lose!"
kingDescThem   "Moves 1 space in any direction. ## ##  Capture the enemy king to win!"

laserRook      "Laser Rook"
laserRookDesc  "Fires lasers in straight lines after moving"

laserPawn      "Laser Pawn"
laserPawnDesc  "Fires laser forward after moving"

doublingPawn   "Doubling Pawn"
doublingPawnDesc  "Doubles special abilities of any piece immediately in front"


addingRook     "Adding Rook"
addingRookDesc "Adds 1 to special abilities of reachable pieces in straight lines"

rocket         "CCCP Rocket"
rocketDesc     "Destroys a random enemy piece, then destroys itself"
